Player,PER
A.C. Green,17.8
A.J. Bramlett,-0.4
A.J. English,12.5
A.J. Guyton,11.8
A.J. Hammons,8.4
A.J. Price,17.1
A.J. Wynder,7.6
A.W. Holt,-1.8
Aaron Brooks,16.0
Aaron Gordon,17.0
Aaron Gray,18.4
Aaron Harrison,4.3
Aaron James,14.4
Aaron McKie,15.8
Aaron Miles,6.0
Aaron Swinson,11.7
Aaron Williams,19.1
Abdul Jeelani,18.7
Acie Earl,18.6
Acie Law,21.3
Adam Harrington,10.4
Adam Keefe,15.1
Adam Morrison,7.9
Adonal Foyle,21.0
Adonis Jordan,18.9
Adonis Thomas,10.1
Adreian Payne,14.4
Adrian Branch,18.8
Adrian Caldwell,10.4
Adrian Dantley*,24.6
Adrian Griffin,14.2
Adrian Smith,14.2
Al Attles,13.2
Al Bianchi,12.5
Al Butler,17.4
Al Carlson,9.0
Al Cervi*,21.9
Al Eberhard,11.7
Al Ferrari,11.2
Al Fleming,10.7
Al Guokas,
Al Hairston,14.7
Al Harrington,16.8
Al Henry,13.8
Al Horford,22.0
Al Jackson,-9.2
Al Jefferson,23.1
Al Masino,17.3
Al Miksis,
Al Roges,10.6
Al Skinner,16.2
Al Thornton,12.7
Al Tucker,14.1
Al Wood,14.9
Al-Farouq Aminu,14.4
Alaa Abdelnaby,14.1
Alan Anderson,12.6
Alan Hardy,10.5
Alan Henderson,18.4
Alan Ogg,67.9
Alan Sawyer,
Alan Williams,21.1
Alando Tucker,15.7
Albert King,17.7
Alec Burks,15.8
Alec Kessler,11.8
Aleksandar Djordjevic,12.5
Aleksandar Radojevic,2.4
Alex Abrines,10.1
Alex Acker,16.0
Alex Blackwell,8.2
Alex Bradley,12.4
Alex English*,24.1
Alex Garcia,8.4
Alex Groza,
Alex Hannum*,9.6
Alex Kirk,8.5
Alex Len,15.0
Alex Poythress,13.2
Alex Scales,
Alex Stepheson,16.0
Alex Stivrins,18.8
Alexander Johnson,13.2
Alexander Volkov,15.5
Alexey Shved,20.5
Alexis Ajinca,19.9
Alfred McGuire*,13.0
Alfredrick Hughes,8.2
Allan Bristow,16.6
Allan Houston,17.7
Allan Ray,10.0
Allen Crabbe,12.2
Allen Iverson*,25.9
Allen Leavell,16.4
Allen Murphy,1.8
Allie McGuire,10.3
Alonzo Bradley,9.3
Alonzo Gee,16.2
Alonzo Mourning*,25.8
Alphonso Ford,28.9
Alton Ford,12.4
Alton Lister,16.4
Alvan Adams,21.7
Alvin Heggs,20.7
Alvin Jones,6.2
Alvin Robertson,19.5
Alvin Scott,13.4
Alvin Sims,10.9
Alvin Williams,16.7
